Comment,Designator,Footprint,LCSC,Quantity
100kΩ,R2,R_0603,C25803,1
100nF,C3,C_0603,C14663,1
10kΩ,"R1,R4,R5",R_0603,C25804,3
10uF,"C1,C2",C_0805,C440198,2
10Ω,R13,R_0603,C22859,1
120kΩ,R6,R_0603,C25808,1
1MΩ,R8,R_0603,C22935,1
4.7kΩ,R3,R_0603,C23162,1
4.7Ω,"R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R9",R_1218_3246Metric_Pad1.22x4.75mm_HandSolder,C876073,24
47kΩ,R7,R_0603,C25819,1
BC817-25,Q1,Q_SOT-23,C20069154,1
CJ431,U2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C3113,1
EG2131,U3,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,C5240691,1
FDS5670-NL-VB,Q2,SO-8 N-channel mosfet FDS5351,C5878792,1
MD7680EC0QA3,U1,SOT-23-3L_L2.9-W1.6-P1.90-LS2.8-BL,C42377927,1
Red,D1,D_0603,C2286,1
Yellow,D2,D_0603,C89811,1
