Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_1206,88.2,-160.1,0.0,top
C10,100nF,C_0402,65.95,-131.98,90.0,top
C11,1.5pF,C_0402,67.565,-131.805,135.0,top
C12,47pF,C_0402,77.3,-166.6,90.0,top
C13,47uF,C_0805,75.2,-161.5,0.0,top
C14,100nF,C_0402,62.5,-131.92,-90.0,top
C15,1.5pF,C_0402,70.66,-130.13,-45.0,top
C16,47uF,C_0805,75.2,-159.0,0.0,top
C17,15pF,C_0402,71.382536,-138.217124,180.0,top
C18,15pF,C_0402,71.372536,-134.17,0.0,top
C19,1uF,C_0402,61.39,-131.92,-90.0,top
C2,1uF,C_0402,69.27,-133.1,0.0,top
C20,10uF,C_0402,60.3,-131.92,-90.0,top
C21,1uF,C_0603,78.1,-149.4925,90.0,top
C22,1uF,C_0402,56.04,-131.72,-90.0,top
C23,100nF,C_0402,59.38,-141.0,90.0,top
C24,1uF,C_0402,58.32,-141.0,90.0,top
C25,100nF,C_0402,58.56,-136.96,0.0,top
C26,10uF,C_0402,58.71,-131.99,90.0,top
C27,100nF,C_0402,79.7,-133.3,180.0,top
C28,100nF,C_0402,50.12,-140.39,180.0,top
C29,1uF,C_0603,81.85,-152.46,180.0,top
C3,4.7uF,C_1206,88.2,-162.7,0.0,top
C30,100nF,C_0603,68.74,-158.22,90.0,top
C31,100nF,C_0603,67.36,-158.21,90.0,top
C32,100nF,C_0603,75.86,-154.68,180.0,top
C37,10uF,C_1206,48.8,-144.64,180.0,top
C38,100nF,C_0603,48.1,-146.62,180.0,top
C39,1nF,C_0402,72.295,-148.535,90.0,top
C4,10nF,C_0402,69.27,-134.17,0.0,top
C5,10nF,C_0402,85.1,-162.6,-90.0,top
C6,100nF,C_0402,85.1,-164.7,90.0,top
C7,100nF,C_0402,68.76,-139.46,90.0,top
C8,10nF,C_0402,78.3,-164.3,90.0,top
C9,1nF,C_0402,77.8,-168.1,0.0,top
D1,SMF30A,D_SOD-123FL,82.4,-145.5,180.0,top
D10,H5VL10BC,D_DFN1006-2L,57.62,-132.0,90.0,top
D11,SRV05-4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,79.64,-135.83,90.0,top
D12,Red,D_0603,38.26,-150.18,-90.0,top
